Abreviatura,Valor,id_sistema,data,Sistema
Q Rev.Capiv.,0,2,2010-08-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-08-31,Guarapiranga
Q Guarat.,0.506,5,2010-08-31,Rio Claro
Q EEAB Bir,4.05,1,2010-09-30,Alto Tietê
Q Rev.Capiv.,0,2,2010-09-30,Guarapiranga
Q Rev.Taquac.,0,2,2010-09-30,Guarapiranga
Q Guarat.,0.506,5,2010-09-30,Rio Claro
Q EEAB Bir,6,1,2010-10-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-10-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-10-31,Guarapiranga
Q Guarat.,0.506,5,2010-10-31,Rio Claro
Q EEAB Bir,4.58,1,2010-11-30,Alto Tietê
Q Rev.Capiv.,0,2,2010-11-30,Guarapiranga
Q Rev.Taquac.,0,2,2010-11-30,Guarapiranga
Q Guarat.,0.336,5,2010-11-30,Rio Claro
Q EEAB Bir,3.59,1,2010-12-31,Alto Tietê
Q Rev.Capiv.,0,2,2010-12-31,Guarapiranga
Q Rev.Taquac.,0,2,2010-12-31,Guarapiranga
Q Guarat.,0,5,2010-12-31,Rio Claro
Q EEAB Bir,0,1,2011-01-31,Alto Tietê
Q Rev.Capiv.,0,2,2011-01-31,Guarapiranga
Q Rev.Taquac.,0,2,2011-01-31,Guarapiranga
Q Guarat.,0,5,2011-01-31,Rio Claro
Q EEAB Bir,0,1,2011-02-28,Alto Tietê
Q Rev.Capiv.,0,2,2011-02-28,Guarapiranga
Q Rev.Taquac.,0,2,2011-02-28,Guarapiranga
Q Guarat.,0,5,2011-02-28,Rio Claro
Q EEAB Bir,0,1,2011-03-31,Alto Tietê
Q Rev.Capiv.,0,2,2011-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2011-03-31,Guarapiranga
Q Guarat.,0,5,2011-03-31,Rio Claro
Q EEAB Bir,2.44,1,2011-04-30,Alto Tietê
Q Rev.Capiv.,0,2,2011-04-30,Guarapiranga
Q Rev.Taquac.,0,2,2011-04-30,Guarapiranga
Q Guarat.,0,5,2011-04-30,Rio Claro
Q EEAB Bir,0,1,2011-05-31,Alto Tietê
Q Rev.Capiv.,0,2,2011-05-31,Guarapiranga
Q Rev.Taquac.,0,2,2011-05-31,Guarapiranga
Q Guarat.,0,5,2011-05-31,Rio Claro
Q EEAB Bir,0,1,2011-06-30,Alto Tietê
Q Rev.Capiv.,0,2,2011-06-30,Guarapiranga
Q Rev.Taquac.,0,2,2011-06-30,Guarapiranga
Q Guarat.,0,5,2011-06-30,Rio Claro
Q EEAB Bir,0,1,2011-07-31,Alto Tietê
Q Rev.Capiv.,0,2,2011-07-31,Guarapiranga
Q Rev.Taquac.,0,2,2011-07-31,Guarapiranga
Q Guarat.,0.168,5,2011-07-31,Rio Claro
Q EEAB Bir,6.68,1,2011-08-31,Alto Tietê
Q Rev.Capiv.,0.717,2,2011-08-31,Guarapiranga
Q Rev.Taquac.,0.437,2,2011-08-31,Guarapiranga
Q Guarat.,0.168,5,2011-08-31,Rio Claro
Q EEAB Bir,6.81,1,2011-09-30,Alto Tietê
Q Rev.Capiv.,1.219,2,2011-09-30,Guarapiranga
Q Rev.Taquac.,1.75,2,2011-09-30,Guarapiranga
Q Guarat.,0.336,5,2011-09-30,Rio Claro
Q EEAB Bir,7.43,1,2011-10-31,Alto Tietê
Q Rev.Capiv.,1.434,2,2011-10-31,Guarapiranga
Q Rev.Taquac.,1.837,2,2011-10-31,Guarapiranga
Q Guarat.,0.336,5,2011-10-31,Rio Claro
Q EEAB Bir,6.6,1,2011-11-30,Alto Tietê
Q Rev.Capiv.,0.645,2,2011-11-30,Guarapiranga
Q Rev.Taquac.,1.837,2,2011-11-30,Guarapiranga
Q Guarat.,0.336,5,2011-11-30,Rio Claro
Q EEAB Bir,6.92,1,2011-12-31,Alto Tietê
Q Rev.Capiv.,0.544,2,2011-12-31,Guarapiranga
Q Rev.Taquac.,2.841,2,2011-12-31,Guarapiranga
Q Guarat.,0.336,5,2011-12-31,Rio Claro
Q EEAB Bir,6.11,1,2012-01-31,Alto Tietê
Q Rev.Capiv.,1.434,2,2012-01-31,Guarapiranga
Q Rev.Taquac.,2.584,2,2012-01-31,Guarapiranga
Q Guarat.,0,5,2012-01-31,Rio Claro
Q EEAB Bir,6.69,1,2012-02-29,Alto Tietê
Q Rev.Capiv.,0,2,2012-02-29,Guarapiranga
Q Rev.Taquac.,0,2,2012-02-29,Guarapiranga
Q Guarat.,0.336,5,2012-02-29,Rio Claro
Q EEAB Bir,6.57,1,2012-03-31,Alto Tietê
Q Rev.Capiv.,0,2,2012-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2012-03-31,Guarapiranga
Q Guarat.,0.336,5,2012-03-31,Rio Claro
Q EEAB Bir,7.15,1,2012-04-30,Alto Tietê
Q Rev.Capiv.,0,2,2012-04-30,Guarapiranga
Q Rev.Taquac.,0,2,2012-04-30,Guarapiranga
Q Guarat.,0,5,2012-04-30,Rio Claro
Q EEAB Bir,6.6,1,2012-05-31,Alto Tietê
Q Rev.Capiv.,0,2,2012-05-31,Guarapiranga
Q Rev.Taquac.,0,2,2012-05-31,Guarapiranga
Q Guarat.,0.506,5,2012-05-31,Rio Claro
Q EEAB Bir,5.9,1,2012-06-30,Alto Tietê
Q Rev.Capiv.,0,2,2012-06-30,Guarapiranga
Q Rev.Taquac.,3.466,2,2012-06-30,Guarapiranga
Q Guarat.,0.336,5,2012-06-30,Rio Claro
Q EEAB Bir,2.69,1,2012-07-31,Alto Tietê
Q Rev.Capiv.,0,2,2012-07-31,Guarapiranga
Q Rev.Taquac.,0,2,2012-07-31,Guarapiranga
Q Guarat.,0.506,5,2012-07-31,Rio Claro
Q EEAB Bir,1.27,1,2012-08-31,Alto Tietê
Q Rev.Capiv.,0,2,2012-08-31,Guarapiranga
Q Rev.Taquac.,0,2,2012-08-31,Guarapiranga
Q Guarat.,0.506,5,2012-08-31,Rio Claro
Q EEAB Bir,5.56,1,2012-09-30,Alto Tietê
Q Rev.Capiv.,0,2,2012-09-30,Guarapiranga
Q Rev.Taquac.,0,2,2012-09-30,Guarapiranga
Q Guarat.,0.506,5,2012-09-30,Rio Claro
Q EEAB Bir,6.25,1,2012-10-31,Alto Tietê
Q Rev.Capiv.,0,2,2012-10-31,Guarapiranga
Q Rev.Taquac.,0,2,2012-10-31,Guarapiranga
Q Guarat.,0.506,5,2012-10-31,Rio Claro
Q EEAB Bir,4.63,1,2012-11-30,Alto Tietê
Q Rev.Capiv.,1.433,2,2012-11-30,Guarapiranga
Q Rev.Taquac.,0,2,2012-11-30,Guarapiranga
Q Guarat.,0,5,2012-11-30,Rio Claro
Q EEAB Bir,5.44,1,2012-12-31,Alto Tietê
Q Rev.Capiv.,0.86,2,2012-12-31,Guarapiranga
Q Rev.Taquac.,0,2,2012-12-31,Guarapiranga
Q Guarat.,0,5,2012-12-31,Rio Claro
Q EEAB Bir,2.66,1,2013-01-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2013-01-31,Guarapiranga
Q Rev.Taquac.,0,2,2013-01-31,Guarapiranga
Q Guarat.,0.168,5,2013-01-31,Rio Claro
Q EEAB Bir,0,1,2013-02-28,Alto Tietê
Q Rev.Capiv.,1.433,2,2013-02-28,Guarapiranga
Q Rev.Taquac.,0,2,2013-02-28,Guarapiranga
Q Guarat.,0,5,2013-02-28,Rio Claro
Q EEAB Bir,0,1,2013-03-31,Alto Tietê
Q Rev.Capiv.,1.72,2,2013-03-31,Guarapiranga
Q Rev.Taquac.,0,2,2013-03-31,Guarapiranga
Q Guarat.,0,5,2013-03-31,Rio Claro
Q EEAB Bir,0,1,2013-04-30,Alto Tietê
Q Rev.Capiv.,0.716,2,2013-04-30,Guarapiranga
Q Rev.Taquac.,2.42,2,2013-04-30,Guarapiranga
Q Guarat.,0.168,5,2013-04-30,Rio Claro
Q EEAB Bir,1.39,1,2013-05-31,Alto Tietê
Q Rev.Capiv.,0.645,2,2013-05-31,Guarapiranga
Q Rev.Taquac.,2.54,2,2013-05-31,Guarapiranga
Q Guarat.,0.168,5,2013-05-31,Rio Claro
Q EEAB Bir,3.36,1,2013-06-30,Alto Tietê
Q Rev.Capiv.,1.72,2,2013-06-30,Guarapiranga
Q Rev.Taquac.,3.466,2,2013-06-30,Guarapiranga
Q Guarat.,0.168,5,2013-06-30,Rio Claro
Q EEAB Bir,1.97,1,2013-07-31,Alto Tietê
Q Rev.Capiv.,1.433,2,2013-07-31,Guarapiranga
Q Rev.Taquac.,3.417,2,2013-07-31,Guarapiranga
